
2023/10/02 (21:46:32) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/10/02 (21:46:37) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2023/10/02 (21:46:38) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2023/10/02 (21:46:38) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2023/10/02 (21:46:39) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/10/02 (21:46:39) | DEBUG: Loading theme file: /usr/share/btop/themes/tokyo-night.theme
2023/10/02 (21:46:40) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_dark.theme
2023/10/02 (21:46:41) | DEBUG: Loading theme file: /usr/share/btop/themes/dusklight.theme
2023/10/02 (21:46:41) | DEBUG: Loading theme file: /usr/share/btop/themes/night-owl.theme
2023/10/02 (21:46:44) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2023/10/02 (21:46:45) | DEBUG: Loading theme file: /usr/share/btop/themes/ayu.theme
2023/10/02 (21:46:46) | DEBUG: Loading theme file: /usr/share/btop/themes/matcha-dark-sea.theme

2023/10/03 (01:08:29) | ===> btop++ v.1.2.13
2023/10/03 (01:08:29) | INFO: Logger set to DEBUG
2023/10/03 (01:08:29) | DEBUG: Using locale en_US.UTF-8
2023/10/03 (01:08:29) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2023/10/03 (01:08:29) | INFO: Quitting! Runtime: 00:00:00

2023/10/03 (01:08:32) | ===> btop++ v.1.2.13
2023/10/03 (01:08:32) | INFO: Logger set to DEBUG
2023/10/03 (01:08:32) | DEBUG: Using locale en_US.UTF-8
2023/10/03 (01:08:32) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2023/10/03 (01:08:32) | INFO: Quitting! Runtime: 00:00:00

2023/10/03 (01:08:33) | ===> btop++ v.1.2.13
2023/10/03 (01:08:33) | INFO: Logger set to DEBUG
2023/10/03 (01:08:33) | DEBUG: Using locale en_US.UTF-8
2023/10/03 (01:08:33) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2023/10/03 (01:08:33) | INFO: Quitting! Runtime: 00:00:00

2023/10/03 (01:08:34) | ===> btop++ v.1.2.13
2023/10/03 (01:08:34) | INFO: Logger set to DEBUG
2023/10/03 (01:08:34) | DEBUG: Using locale en_US.UTF-8
2023/10/03 (01:08:34) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2023/10/03 (01:08:34) | INFO: Quitting! Runtime: 00:00:00

2023/10/03 (14:58:50) | ===> btop++ v.1.2.13
2023/10/03 (14:58:50) | INFO: Logger set to DEBUG
2023/10/03 (14:58:50) | DEBUG: Using locale en_US.UTF-8
2023/10/03 (14:58:50) | INFO: Running on /dev/pts/4
2023/10/03 (14:58:50) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/04 (11:11:33) | ===> btop++ v.1.2.13
2023/10/04 (11:11:33) | INFO: Logger set to DEBUG
2023/10/04 (11:11:33) | DEBUG: Using locale en_US.UTF-8
2023/10/04 (11:11:33) | INFO: Running on /dev/pts/5
2023/10/04 (11:11:33) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme

2023/10/04 (12:16:21) | ===> btop++ v.1.2.13
2023/10/04 (12:16:21) | INFO: Logger set to DEBUG
2023/10/04 (12:16:21) | DEBUG: Using locale en_US.UTF-8
2023/10/04 (12:16:21) | INFO: Running on /dev/pts/6
2023/10/04 (12:16:21) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2023/10/04 (12:16:47) | DEBUG: Writing new config file
2023/10/04 (12:16:47) | INFO: Quitting! Runtime: 00:00:26

2023/10/04 (12:16:49) | ===> btop++ v.1.2.13
